,0
162,Al Imam Al-Ouzai Universit
163,Al Iraqia Universit
164,Al Mustafa International Universit
165,Al Muthanna Universit
166,Al Nahrain Universit
167,Al Rasheed International Private University for Science and Technolog
168,Al Sharqiyah Universit
169,Al Yamamah Universit
170,Al Zaiem Al Azhari Universit
171,Alabama A&amp;M Universit
172,Alabama State Universit
173,Alagappa Universit
174,Al-Ahgaff Universit
175,Al-Ahliyya Amman Universit
176,Alakh Prakash Goyal Shimla Universit
177,Alanus Hochschule für Kunst und Gesellschaf
178,Alanya Alaaddin Keykubat Üniversites
179,Alanya Hamdullah Emin Pasa Üniversites
180,Alaska Bible Colleg
181,Alaska Pacific Universit
182,Ala-Too Uluslararasi Üniversites
183,Al-Azhar Universit
184,Al-Balqa' Applied Universit
185,Albaydaa Universit
186,Albert-Ludwigs-Universität Freibur
187,Albion Colleg
188,Alborz Institute of Higher Educatio
189,Alcorn State Universit
190,Aldersgate Colleg
191,Alderson Broaddus Universit
192,Al-Eman Universit
193,Aletheia Universit
194,"Alex Ekwueme Federal University, Ndufu-Alik"
195,Alexander American University School Of Medicin
196,Alexander Colleg
197,Alfa BK Univerzite
198,Al-Falah Universit
199,Al-Farabi Kazakh National Universit
200,Alfred Nobel Universit
201,Alfred State Colleg
202,Al-Furat Universit
203,Algoma Universit
204,Al-Hadra University of Humanities and Applied Science
205,Al-Hamd Islamic Universit
206,Al-Hussein Bin Talal Universit
207,Ali Institute of Educatio
208,Aliah Universit
209,Alice Lloyd Colleg
210,Alice Salomon Hochschule Berli
211,Al-Imam Muhammad Ibn Saud Islamic Universit
212,Al-Jafra Universit
213,Aljazeera Universit
214,Al-Karkh University of Scienc
215,All India Institute of Medical Sciences Bhopa
216,All India Institute of Medical Sciences Bhubaneswa
217,All India Institute of Medical Sciences Delh
218,All India Institute of Medical Sciences Jodhpu
219,All India Institute of Medical Sciences Patn
220,All India Institute of Medical Sciences Raipu
221,All Nations University Colleg
222,All Saints Universit
223,Allahabad State Universit
224,Allameh Mohaddes Nouri Universit
225,Allameh Tabataba'i Universit
226,Allen Universit
227,Allensbach Hochschule Konstan
228,Alliance Universit
229,Alliant International Universit
230,Alma Mater Europae
231,Al-Madinah International Universit
232,Almaty Academy of Economics and Statistic
233,Almaty Universit
234,Almaty University of Power Engineering and Telecommunication
235,AlMughtaribeen Universit
236,Alpen-Adria-Universität Klagenfur
237,Al-Qasim Green Universit
238,Al-Quds Universit
239,Al-Rafaq National Universit
240,Al-Saeeda Universit
241,Alsalam Universit
242,Al-Sham Private Universit
243,Al-Tahadi National Medical Universit
244,Altai State Academy of Educatio
245,Altai State Universit
246,Al-taqwa Institute of Higher Educatio
247,Altinbas Üniversites
248,Alvernia Universit
249,Alverno Colleg
250,Al-Wataniya Private Universit
251,Alytaus kolegij
252,Alzahra Universit
253,Al-Zaytoonah University of Jorda
254,AMA Computer Universit
255,AMA International University Bahrai
256,Ambassador International Universit
257,Ambedkar University Delh
258,Amberton Universit
259,Ambo Universit
260,Ambrose Universit
261,American Baptist Colleg
262,American Colleg
263,American International Colleg
264,American International School of Medicin
265,American International University West Afric
266,American International University-Banglades
267,American Jewish Universit
268,American University in Bulgari
269,American University in Duba
270,American University in North Afric
271,American University in the Emirate
272,American University of Barbado
273,American University of Beiru
274,American University of Central Asi
275,American University of Integrative Science
276,American University of Malt
277,American University of Phnom Pen
278,American University of Puerto Ric
279,American University of Ras Al Khaima
280,American University of Science and Technolog
281,American University of Sharja
282,American University of the Caribbea
283,American University of the Caribbean - School of Medicin
284,Americki Univerzitet u Bosni i Hercegovin
285,Amherst Colleg
286,Amirkabir University of Technolog
287,Amity Universit
288,Amman Arab Universit
289,Ammon Applied University Colleg
290,Amran Universit
291,Amref International Universit
292,Amrita Vishwa Vidyapeetha
293,Amsterdamse Hogeschool voor de Kunste
294,Amur State Universit
295,Amur State University of Humanities and Pedagog
296,Anadolu Üniversites
297,Anania Shirakatsi University of International Relation
298,"Anchor University, Lago"
299,Anderson Universit
300,Andhra Universit
301,Andijon Davlat Universitet
302,Andijon Mashinasozlik Institut
303,Andijon Qishloq Xo'jalik Institut
304,Andrássy Universität Budapes
305,Andrews Universit
306,Angel Kanchev University of Rus
307,Angeles University Foundatio
308,Angkor Khemara Universit
309,Anglia Ruskin Universit
310,Anglican University College of Technolog
311,Anglo-americká vysoká škol
312,Anhui Agricultural Universit
313,Anhui Jianzhu Universit
314,Anhui Medical Universit
315,Anhui Normal Universit
316,Anhui Polytechnic Universit
317,Anhui Sanlian Universit
318,Anhui Science and Technology Universit
319,Anhui Universit
320,Anhui University of Chinese Medicin
321,Anhui University of Finance and Economic
322,Anhui University of Technolog
323,Anhui Xinhua Universit
324,Anka Teknoloji Üniversites
325,Ankang Universit
326,Ankara Sosyal Bilimler Üniversites
327,Ankara Üniversites
328,Ankara Yildirim Beyazit Üniversites
329,Ankole Western Universit
330,Anna Maria Colleg
331,Anna Universit
332,An-Najah National Universit
333,Annamalai Universit
334,Anqing Normal Universit
335,Ansal Universit
336,Anshan Normal Universit
337,Anshun Universit
338,Antalya Akev Üniversites
339,Antalya Bilim Üniversites
340,Antioch Universit
341,Antioch University New Englan
342,Antioch University Seattl
343,Anton Bruckner Privatuniversitä
344,Anton de Kom Universiteit van Surinam
345,Antwerp Management Schoo
346,Anyang Institute of Technolog
347,Anyang Normal Universit
348,Anyang Universit
349,Aomori Chuo Gakuin Universit
350,Aomori Public Universit
351,Aomori Universit
352,Aoyama Gakuin Universit
353,AP Hogeschool Antwerpe
354,Apeejay Stya Universit
355,Apex Professional Universit
356,Apex Universit
357,APJ Abdul Kalam Technological Universit
358,Appalachian Bible Colleg
359,Appalachian College of Pharmac
360,Appalachian State Universit
361,Applied Science Private Universit
362,Applied Science Universit
363,Aquinas Colleg
364,"Aquinas College, Tennesse"
365,Aquinas University of Legazp
366,"Arab Academy for Science, Technology and Maritime Transpor"
367,Arab International Universit
368,Arab Open University Lebano
369,Arab University of Science and Technolog
370,Arak Universit
371,Arak University of Medical Science
372,Arak University of Technolog
373,Arba Minch Universit
374,Architectural Institute in Pragu
375,Ardhi Universit
376,Arellano Universit
377,Arish Universit
378,Aristotle University of Thessalonik
379,Arizona Christian Universit
380,Arizona State Universit
381,Arka Jain Universit
382,Arkansas Baptist Colleg
383,Arkansas State Universit
384,Arkansas Tech Universit
385,Arkin Yaratici Sanatlar ve Tasarim Üniversites
386,Arkitektskolen Aarhu
387,Arkitektur- og designhøgskolen i Osl
388,Arlington Baptist Universit
389,Armavir State Pedagogical Universit
390,Armenian Medical Institut
391,Armenian National Agrarian Universit
392,Armenian State Institute of Physical Cultur
393,Armenian State Pedagogical Universit
394,Armenian State University of Economic
395,Arni Universit
396,Arrupe Jesuit Universit
397,Art and Design Institu
398,Art University of Isfaha
399,Arte A.C
400,Arteveldehogeschoo
401,ArtHouse - Šola za risanje in slikanj
402,Arthur Jarvis Universit
403,Arts University Bournemout
404,"Arts, Sciences and Technology University in Lebano"
405,Arts² - École supérieure des Art
406,Artsakh State Universit
407,Arunachal University of Studie
408,Arunodaya Universit
409,Asahi Universit
410,Asahikawa Medical Universit
411,Asahikawa Universit
412,Asbury Universit
413,Ashesi Universit
414,Ashikaga Institute of Technolog
415,Ashiya Universit
416,Ashland Universit
417,Ashna Institute of Higher Educatio
418,Ashoka Universit
419,Asia e Universit
420,Asia Pacific Colleg
421,Asia Universit
422,"Asia University, Taiwa"
423,Asian Institute of Journalism and Communicatio
424,Asian Institute of Managemen
425,Asian Institute of Technolog
426,Asian Medical Institut
427,Asian Social Institut
428,Asian University for Wome
429,Asian University of Banglades
430,Asia-Pacific International Universit
431,Asmara College of Health Science
432,Asmarya University for Islamic Science
433,Assam Agricultural Universit
434,Assam Down Town Universit
435,Assam Rajiv Gandhi University of Cooperative Managemen
436,Assam Science and Technology Universit
437,Assam Universit
438,Assam Women's Universit
439,Assiut Universit
440,Assosa Universit
441,Assumption Colleg
442,Assumption College San Lorenz
443,Assumption Universit
444,Astana Medical Universit
445,Astana Universit
446,Aswan Universit
447,Atal Bihari Vajpayee Hindi Vishwavidyalay
448,Atal Bihari Vajpayee Vishwavidyalay
449,Atatürk Üniversites
450,Ateneo de Davao Universit
451,Ateneo de Manila Universit
452,Ateneo de Naga Universit
453,Ateneo de Zamboanga Universit
454,Athens School of Fine Art
455,Athens State Universit
456,Athens University of Economics and Busines
457,Athlone Institute of Technolog
458,Atilim Üniversites
459,Atish Dipankar University of Science and Technolog
460,Atlanta Metropolitan State Colleg
461,Atlantis Colleg
462,Atmiya Universit
463,Atomi Universit
464,Atyrau Institute of Engineering and Humanitie
465,Atyrau State Universit
466,Auburn Universit
467,Auburn University at Montgomer
468,Auckland University of Technolog
469,Audencia Business Schoo
470,Augsburg Universit
471,Augusta Universit
472,Augustana Colleg
473,Augustana Universit
474,Augustana-Hochschul
475,AURO Universit
476,Aurora Colleg
477,Aurora State College of Technolog
478,Austin Colleg
479,Australian Catholic Universit
480,Australian College of Kuwai
481,Australian National Universit
482,Avance International Universit
483,AVANS Hogeschoo
484,Avantika Universit
485,Avarga Institut
486,Ave Maria Universit
487,Averett Universit
488,Avicenna Universit
489,Avignon Universit
490,Avila Universit
491,Avinashilingam Universit
492,Avrasya Üniversites
493,Awadhesh Pratap Singh Universit
494,Aydin Adnan Menderes Üniversites
495,Azabu Universit
496,Azerbaycan Diller Universitet
497,Azerbaycan Dövlet Aqrar Universitet
498,Azerbaycan Dövlet Beden Terbiyesi ve Idman Akademiyas
499,Azerbaycan Dövlet Deniz Akademiyas
500,Azerbaycan Dövlet Medeniyyet ve Incesenet Universitet
501,Azerbaycan Dövlet Neft ve Senaye Universitet
502,Azerbaycan Dövlet Pedaqoji Universitet
503,Azerbaycan Emek ve Sosial Münasibetler Akademiyas
504,Azerbaycan Kooperasiya Universitet
505,Azerbaycan Memarliq ve Insaat Universitet
506,Azerbaycan Milli Konservatoriyas
507,Azerbaycan Texniki Universitet
508,Azerbaycan Texnologiya Universitet
509,Azerbaycan Tibb Universitet
510,Azerbaycan Turizm ve Menecment Universitet
511,Azhar Higher Education Institut
512,Azim Premji Universit
513,B.S. Abdur Rahman Crescent Institute of Science and Technolog
514,Baba Ghulam Shah Badhshah Universit
515,Baba Mastnath Universit
516,Babol University of Medical Science
517,Babson Colleg
518,Babu Banarasi Das Universit
519,Bacone Colleg
520,Badakhshan Universit
521,Baddi University of Emerging Sciences and Technologie
522,Badr University in Cair
523,Baekseok Universit
524,Baghlan Universit
525,Bago Universit
526,Bahauddin Zakariya Universit
527,Bahçesehir Kibris Üniversites
528,Bahçesehir Üniversites
529,Bahir Dar Universit
530,BAHRA Universit
531,Bahrain Institute for Banking and Financ
532,Bahria Universit
533,Baicheng Normal Universit
534,Baikal State Universit
535,Baiko Gakuin Universit
536,Baker Colleg
537,Baker Universit
538,Baki Ali Neft Mekteb
539,Baki Avrasiya Universitet
540,Baki Biznes Universitet
541,Baki Dövlet Universitet
542,Baki Islam Universitet
543,Baki Muhendislik Universitet
544,Baki Musiqi Akademiyas
545,Baki Qizlar Universitet
546,Baki Slavyan Universitet
547,Bakirçay Üniversites
548,Baldwin Wallace Universit
549,Balkh Universit
550,Ball State Universit
551,Balochistan University of Engineering and Technolog
552,"Balochistan University of Information Technology, Engineering and Management Science"
553,Bam Universit
554,Bamenda University of Science and Technolog
555,Bamiyan Universit
556,Banasthali Vidyapit
557,Banda University of Agriculture and Technolog
558,Bandarban Universit
559,Bandirma Onyedi Eylül Üniversites
560,Bangabandhu Sheikh Mujib Medical Universit
561,Bangabandhu Sheikh Mujibur Rahman Agricultural Universit
562,Bangabandhu Sheikh Mujibur Rahman Maritime Universit
563,Bangabandhu Sheikh Mujibur Rahman Science and Technology Universit
564,Bangalore Universit
565,Bangamata Sheikh Fojilatunnesa Mujib Science and Technology Universit
566,Bangkok Suvarnabhumi Universit
567,Bangkok Universit
568,Bangladesh Agricultural Universit
569,Bangladesh University of Professional
570,Bangladesh University of Textile
571,Bangor Universit
572,Bani Walid Universit
573,Bank of Georgia Universit
574,Bank-moliya Akademiyas
575,Baoshan Universit
576,Baptist Bible Colleg
577,Baptist Memorial College of Health Science
578,Baptist University of the America
579,Baqai Medical Universit
580,Barclay Colleg
581,Bard College at Simon's Roc
582,Bard College Berli
583,Bareilly International Universit
584,Bar-Ilan Universit
585,Barkatullah Universit
586,Barry Universit
587,Bashkir State Universit
588,Baskent Üniversites
589,Basra University of Oil an Ga
590,Bastar Vishwavidyalay
591,Bastyr Universit
592,Bates Colleg
593,Batumi Navigation Teaching Universit
594,"BAU International University, Batum"
595,Bauhaus-Universität Weima
596,Bauman Moscow State Technical Universit
597,Bay Path Universit
598,Bay State Colleg
599,Bayan Universit
600,Baylor College of Medicin
601,Baylor Universit
602,Baze Universit
603,BBS School of Managemen
604,Beacon Colleg
605,Beaconhouse National Universit
606,Becker Colleg
607,Beckmans Designhögskol
608,Behbahan Khatam Alanbia University of Technolog
609,Beihua Universit
610,Beijing City Universit
611,Beijing Dance Academ
612,Beijing Electronic Science and Technology Institut
613,Beijing Film Academ
614,Beijing Foreign Studies Universit
615,Beijing Forestry Universit
616,Beijing Information Science and Technology Universit
617,Beijing Institute of Fashion Technolog
618,Beijing Institute of Graphic Communicatio
619,Beijing Institute of Petrochemical Technolog
620,Beijing Institute of Technolog
621,Beijing International Studies Universit
622,Beijing Jiaotong Universit
623,Beijing Language and Culture Universit
624,Beijing Technology and Business Universit
625,Beijing University of Agricultur
626,Beijing Wuzi Universit
627,Beirut Arab Universit
628,Beirut Islamic Universit
629,Belarusian National Technical Universit
630,Belarusian State Academy of Art
631,Belarusian State Academy of Communication
632,Belarusian State Academy of Musi
633,Belarusian State Agrarian Technical Universit
634,Belarusian State Agricultural Academ
635,Belarusian State Economic Universit
636,Belarusian State Medical Universit
637,Belarusian State Pedagogical Universit
638,Belarusian State Universit
639,Belarusian State University of Culture and Art
640,Belarusian State University of Informatics and Radioelectronic
641,Belarusian-Russian Universit
642,Belgorod State Technological Universit
643,Bellarmine Universit
644,Bellevue Universit
645,Bellin Colleg
646,Belmont Universit
647,Beloit Colleg
648,Beltei International Universit
649,Benawa Institute of Higher Educatio
650,Benazir Bhutto Shaheed University Lyar
651,Benazir Bhutto Shaheed University of Technology and Skill Developmen
652,Benedict Colleg
653,Benedictine Colleg
654,Benedictine Universit
655,Benemerita Universidad Autonoma de Puebl
656,Bengaluru North Universit
657,Bengbu Medical Colleg
658,Bengbu Universit
659,Benguet State Universit
660,Ben-Gurion University of the Nege
661,Benjamin Franklin Institute of Technolog
662,Bennett Universit
663,Bennington Colleg
664,Benson Idahosa Universit
665,Bentley Universit
666,Beppu Universit
667,Berdyansk University of Management and Busines
668,Bergische Universität Wupperta
669,Berhampur Universit
670,Berkeley Colleg
671,Berry Colleg
672,Bertha von Suttner Privatuniversitä
673,Bethany Colleg
674,"Bethany College, Kansa"
675,Bethel Colleg
676,Bethel Universit
677,"Bethel University, Tennesse"
678,"Bethel University, Zambi"
679,Bethesda Universit
680,Bethlehem Universit
681,Bethune-Cookman Universit
682,Beulah Heights Universit
683,Beuth Hochschule für Technik Berli
684,Beykent Üniversites
685,Beykoz Üniversites
686,Bezmiâlem Vakif Üniversites
687,Bhagat Phool Singh Mahila Vishwavidyalay
688,Bhagwant Universit
689,Bhakta Kavi Narsinh Mehta Universit
690,Bharath Institute of Higher Education and Researc
691,Bharathiar Universit
692,Bharathidasan Universit
693,Bharati Vidyapeeth Deemed Universit
694,Bhartiya Skill Development Universit
695,Bhatkhande Music Institut
696,Bhiksu University of Sri Lank
697,Bhupal Nobles Universit
698,Bicol Universit
699,Bidhan Chandra Krishi Vishwavidyalay
700,Bielska Wyzsza Szkola im. Józefa Tyszkiewicz
701,Bihar Agricultural Universit
702,Biju Patnaik University of Technolog
703,Bila Tserkva National Agrarian Universit
704,Bilad Al Sham Universit
705,Biliran Province State Universit
706,Bilkent Üniversites
707,Bindura University of Science Educatio
708,Bingham Universit
709,"Binghamton University, State University of New Yor"
710,Binod Bihari Mahto Koyalanchal Universit
711,Binzhou Universit
712,Birjand University of Technolog
713,"Birkbeck, University of Londo"
714,Birla Institute of Technolog
715,Birla Institute of Technology and Scienc
716,Birmingham City Universit
717,Birmingham-Southern Colleg
718,Biruni Üniversites
719,Birzeit Universit
720,Bishkek Academy of Finance and Economic
721,Bishkek Humanities Universit
722,Bishop Grosseteste Universit
723,Bishop Stuart Universit
724,Bishop's Universit
725,Bitlis Eren Üniversites
726,Biwako Seikei Sport Colleg
727,Biznesa augstskola Turib
728,Black Hills State Universit
729,Black Sea National Universit
730,Blackburn Colleg
731,Blagoveshchensk State Pedagogical Universit
732,Blantyre International Universit
733,BLDE Universit
734,Blekinge Tekniska Högskol
735,Blessing University of Excellenc
736,Blessing-Rieman College of Nursing and Health Science
737,Bloomsburg University of Pennsylvani
738,Blue Mountain Colleg
739,BlueCrest Colleg
740,Bluefield Colleg
741,Bluefield State Colleg
742,Bluefields Indian and Caribbean Universit
743,Bluffton Universit
744,BML Munjal Universit
745,Bob Jones Universit
746,Bodoland Universit
747,Bogaziçi Üniversites
748,Bohai Universit
749,Bohol Island State Universit
750,Boise Bible Colleg
751,Bolan University of Medical and Health Science
752,Bolu Abant Izzet Baysal Üniversites
753,Bond Universit
754,Bordeaux IN
755,Borno State Universit
756,Borys Grinchenko Kyiv Universit
757,Bost Universit
758,Boston Graduate School of Psychoanalysi
759,Botswana Accountancy Colleg
760,Botswana International University of Science and Technolog
761,Bournemouth Universit
762,Bowdoin Colleg
763,Bowling Green State Universit
764,BPP Universit
765,Bradley Universit
766,Brainware Universit
767,Brand University of Applied Science
768,Brandenburgische Technische Universität Cottbus-Senftenber
769,Brandon Universit
770,Bratislavská medzinárodná škola liberálnych štúdi
771,Breda University of Applied Science
772,Brenau Universit
773,Brescia Universit
774,Brest Business Schoo
775,Brest State Technical Universit
776,Brest State Universit
777,Brewton-Parker Colleg
778,Briar Cliff Universit
779,Bridgewater Colleg
780,Brigham Young Universit
781,Brigham Young University-Hawai
782,Brigham Young University-Idah
783,Bright Star Universit
784,Britannia Universit
785,British Columbia Institute of Technolog
786,Brock Universit
787,Brook Besor Universit
788,Brown Universit
789,Brunel University Londo
790,Bryan Colleg
791,Bryansk State Technical Universit
792,Bryant and Stratton Colleg
793,Bryant Universit
794,Bryn Athyn Colleg
795,Bryn Mawr Colleg
796,BSP Business School Berli
797,Bu-Ali Sina Universit
798,Buckinghamshire New Universit
799,Bucknell Universit
800,Budapesti Corvinus Egyete
801,Budapesti Metropolitan Egyete
802,Budapesti Muszaki és Gazdaságtudományi Egyete
803,Buddhist and Pali Universit
804,Buena Vista Universit
805,Bujumbura International Universit
806,Bukkyo Universit
807,Bukovinian State Medical Universit
808,Bule Hora Universit
809,Bunka Fashion Graduate Universit
810,Bunka Gakuen Universit
811,Bunkyo Gakuin Universit
812,Bunkyo Universit
813,Bunri University of Hospitalit
814,Bunsei University of Ar
815,Burapha Universit
816,Burdur Mehmet Akif Ersoy Üniversites
817,Burg Giebichenstein Kunsthochschule Hall
818,Burgas Free Universit
819,Burman Universit
820,Bursa Teknik Üniversites
821,Buryat State Academy of Agricultur
822,Busan National University of Educatio
823,Busan Presbyterian Universit
824,Bushnell Universit
825,Business and Technology Universit
826,Busitema Universit
827,Busoga Universit
828,Butler Universit
829,Buxoro Davlat Universitet
830,Buxoro muhandislik-texnologiya institut
831,C.D.A. Colleg
832,C.U. Shah Universit
833,Cabrini Universit
834,Çag Üniversites
835,Cairn Universit
836,Cairo Universit
837,Calumet College of St. Josep
838,Calvary Universit
839,Calvin Universit
840,Camarines Norte State Colleg
841,Camarines Sur Polytechnic College
842,Cambridge Colleg
843,CamEd Business Schoo
844,Cameron Universit
845,Campbellsville Universit
846,Campion College at the University of Regin
847,CAMPUS 02 Fachhochschule der Wirtschaf
848,Can Tho Universit
849,Canadian Mennonite Universit
850,Canadian University of Banglades
851,Canadian University of Duba
852,Çanakkale Onsekiz Mart Üniversites
853,Çankaya Üniversites
854,Çankiri Karatekin Üniversites
855,Canterbury Christ Church Universit
856,Cape Breton Universit
857,Cape Peninsula University of Technolog
858,Capital Medical Universit
859,Capital Normal Universit
860,Capital Universit
861,Capital University of Economics and Busines
862,Capital University of Physical Education and Sport
863,Capital University of Science and Technolog
864,Capitol Technology Universit
865,Capitol Universit
866,Caraga State Universit
867,Cardiff Metropolitan Universit
868,Cardiff Universit
869,Cardinal Stritch Universit
870,Career Point Universit
871,Caribbean Nazarene Colleg
872,Caribbean Universit
873,Caritas Universit
874,Carleton Colleg
875,Carleton Universit
876,Carlos Albizu Universit
877,Carlow Universit
878,Carnegie Mellon Universit
879,Carnegie Mellon University in Qata
880,Carolina Universit
881,Carroll Colleg
882,Carroll Universit
883,Carson-Newman Universit
884,Carthage Colleg
885,Casa Colleg
886,Caspian Universit
887,Castleton Universit
888,Catholic Institute of Business and Technolog
889,Catholic University College of Ghan
890,Catholic University in Erbi
891,Catholic University of Cameroo
892,Catholic University of Daeg
893,Catholic University of Daejeo
894,Catholic University of Pusa
895,Catholic University of Rwand
896,Catholic University of Zimbabw
897,Caucasus International Universit
898,Cavendish University Ugand
899,Cavendish University Zambi
900,Cazenovia Colleg
901,CCN University of Science and Technolog
902,Cebu Doctors' Universit
903,Cebu Normal Universit
904,Cebu Technological Universit
905,CECOS Universit
906,Cedar Crest Colleg
907,Cedarville Universit
908,Centenary College of Louisian
909,Central Agricultural Universit
910,"Central America Health Sciences University, Belize Medical Colleg"
911,Central China Normal Universit
912,Central Christian College of the Bibl
913,Central Conservatory of Musi
914,Central Institute of Fisheries Educatio
915,Central Kazakhstan Academ
916,Central Luzon State Universit
917,Central Methodist Universit
918,Central Michigan Universit
919,Central Mindanao Universit
920,Central Penn Colleg
921,Central Philippine Adventist Colleg
922,Central Philippine Universit
923,Central Queensland Universit
924,Central South Universit
925,Central South University of Forestry and Technolog
926,Central State Universit
927,Central Universit
928,Central University of Finance and Economic
929,Central University of Gujara
930,Central University of Haryan
931,Central University of Himachal Prades
